name,ja-JP,en-US
L_Ok,OK,
L_Cancel,ｷｬﾝｾﾙ,
TBird_Wpf_Controls_WpfMessageType_Information,情報,
TBird_Wpf_Controls_WpfMessageType_Confirm,確認,
TBird_Wpf_Controls_WpfMessageType_Error,ｴﾗｰ,
